Av_Amp_min,Av_Amp_max,Av_Amp_pro,Ds_Pre_min,Ds_Pre_max,Ds_Pre_pro,Dr_Fre_min,Dr_Fre_max,Dr_Fre_pro,Int_Pre_min,Int_Pre_max,Int_Pre_pro,Int_Tmp_min,Int_Tmp_max,Int_Tmp_pro,Mo_Tmp_min,Mo_Tmp_max,Mo_Tmp_pro,Vib_min,Vib_max,Vib_pro,Pas_Cur_min,Pas_Cur_max,Pas_Cur_pro,Act_Cur_min,Act_Cur_max,Act_Cur_pro,Mot_Ld_min,Mot_Ld_max,Mot_Ld_pro,Zer_Cur_min,Zer_Cur_max,Zer_Cur_pro,Inp_Volt_min,Inp_Volt_max,Inp_Volt_pro,Out_vol_min,Out_vol_max,Out_vol_pro,VSD_min,VSD_max,VSD_pro,Time_Inic,Pozo,tipo_causa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-06 20:00:00+00:00,Well-9,NIN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-22 19:00:00+00:00,Well-9,NIN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-30 23:00:00+00:00,Well-9,FAI
18.0,600.0,41.85645161290322,3511.7,3608.2,3568.9887755102045,5.0,71.0,57.793279569892476,189.1,190.9,190.04897959183674,235.6,236.5,235.90204081632655,281.5,285.1,283.60510204081635,0.9788830138797092,1.0,0.9881606720252436,0.9963118956599956,1.0,0.9979322486344545,0.9969026309871823,1.0,0.9982634469051264,,,,,,,,,,,,,,,,2020-03-31 16:00:00+00:00,Well-9,NIN
18.0,20.0,18.615023474178404,3514.1,3602.6,3561.759624413146,55.9,57.5,56.79014084507042,189.0,191.3,190.02910798122065,235.0,235.8,235.5267605633803,281.3,285.3,283.36666666666656,0.9785855915399868,0.9785855915399868,0.9785855915399868,0.9962599505284462,0.9962599505284462,0.9962599505284462,0.9968590060715088,0.9968590060715088,0.9968590060715088,,,,,,,,,,,,,,,,2020-04-01 16:00:00+00:00,Well-9,NIN
18.0,20.0,18.63888888888889,3499.4,3599.7,3552.8944444444446,55.8,57.5,56.72847222222222,188.8,191.5,190.06458333333336,234.9,235.2,234.9902777777778,280.6,284.9,283.0152777777778,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-02 16:00:00+00:00,Well-9,NIN
18.0,20.0,18.63888888888889,3491.3,3592.1,3543.426388888889,55.7,57.4,56.62222222222223,188.7,191.4,190.01805555555555,234.7,235.0,234.9013888888889,280.6,285.1,283.0083333333334,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-03 16:00:00+00:00,Well-9,NIN
17.0,20.0,18.625,3475.5,3591.5,3539.2194444444444,55.5,57.5,56.606944444444444,188.8,191.5,190.0569444444444,234.5,234.9,234.8277777777778,280.2,285.3,282.94166666666666,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-04 16:00:00+00:00,Well-9,NIN
17.0,20.0,18.666666666666668,3467.1,3588.2,3528.776388888889,55.4,57.5,56.49999999999999,188.6,191.5,190.0402777777778,234.3,234.9,234.5722222222222,280.0,285.1,282.7263888888889,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-05 16:00:00+00:00,Well-9,NIN
17.0,20.0,18.63888888888889,3460.8,3580.3,3524.3930555555553,55.4,57.5,56.49583333333333,188.4,191.5,190.0,234.1,234.5,234.28333333333336,279.9,285.1,282.6569444444445,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-06 16:00:00+00:00,Well-9,NIN
17.0,21.0,18.618055555555557,3460.9,3579.8,3518.9479166666665,55.4,57.5,56.43333333333333,188.5,191.5,189.99722222222223,234.0,234.3,234.10416666666666,279.9,284.9,282.47083333333336,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-07 16:00:00+00:00,Well-9,NIN
17.0,20.0,18.75462962962963,3458.6,3578.2,3528.1981481481484,55.4,57.5,56.59675925925925,188.5,191.4,189.92407407407404,234.0,234.1,234.0703703703704,279.9,284.7,282.6791666666667,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-08 16:00:00+00:00,Well-9,NIN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-04 16:20:00+00:00,Well-9,NIN
17.0,21.0,19.454545454545453,828.0,3612.2,3019.030985915493,52.6,55.5,55.13181818181818,288.5,826.4,406.56690140845063,219.4,235.4,225.93028169014087,219.7,307.0,276.5133802816901,0.1,0.5,0.31267605633802814,,,,,,,,,,,,,,,,,,,,,,2020-05-12 16:40:00+00:00,Well-9,NIN
17.0,19.0,17.90972222222222,2523.0,2758.1,2592.628472222222,55.4,56.5,56.34305555555555,277.7,331.8,326.3409722222222,223.7,224.8,224.50416666666666,268.2,271.4,269.14166666666665,0.2,0.4,0.29444444444444445,,,,,,,,,,,,,,,,,,,,,,2020-05-13 16:40:00+00:00,Well-9,NIN
18.0,18.0,18.0,2594.3,2892.4,2689.89823943662,56.4,56.5,56.43661971830985,277.0,324.0,312.56126760563376,223.7,225.0,224.68450704225344,269.4,271.4,269.93309859154925,0.2,0.4,0.30000000000000004,,,,,,,,,,,,,,,,,,,,,,2020-05-14 16:40:00+00:00,Well-9,NIN
17.0,18.0,17.91549295774648,2566.1,2694.4,2624.9309859154932,56.4,56.5,56.439436619718315,303.2,325.0,317.95211267605634,224.8,225.3,225.02112676056333,269.2,270.1,269.5957746478873,0.2,0.4,0.30281690140845074,,,,,,,,,,,,,,,,,,,,,,2020-05-15 16:40:00+00:00,Well-9,NIN
17.0,18.0,17.98611111111111,2671.1,2782.9,2727.456944444444,56.4,56.5,56.44027777777777,300.2,302.5,300.70694444444445,224.8,225.1,224.97777777777776,268.9,270.5,270.1472222222222,0.2,0.4,0.29444444444444445,,,,,,,,,,,,,,,,,,,,,,2020-05-16 16:40:00+00:00,Well-9,NIN
18.0,18.0,18.0,2690.4,2792.1,2731.673611111111,56.4,56.6,56.441666666666656,300.9,301.6,301.2361111111111,225.0,225.3,225.1097222222222,270.0,270.5,270.2013888888889,0.3,0.4,0.3069444444444444,,,,,,,,,,,,,,,,,,,,,,2020-05-17 16:40:00+00:00,Well-9,NIN
18.0,18.0,18.0,2680.5,2777.4,2727.257638888889,56.6,57.5,57.33888888888888,296.7,301.6,298.6923611111111,225.3,225.6,225.44583333333333,270.3,271.4,271.05833333333334,0.3,0.4,0.3194444444444444,,,,,,,,,,,,,,,,,,,,,,2020-05-18 16:40:00+00:00,Well-9,NIN
14.0,19.0,17.874396135265698,428.7,3045.7,2637.054347826087,46.7,57.5,56.4271221532091,297.5,452.5333333333333,317.20410628019323,219.65,228.2,225.46642512077295,219.9,279.9,269.3475845410628,0.1,0.4,0.3055555555555555,,,,,,,,,,,,,,,,,,,,,,2020-05-19 16:40:00+00:00,Well-9,NIN
16.0,20.0,16.875,2984.0,3287.6,3134.008333333333,50.6,53.9,51.13055555555556,337.2,541.7,442.49583333333334,226.9,233.2,230.11666666666665,265.8,287.8,274.52777777777777,0.2,0.4,0.27361111111111114,,,,,,,,,,,,,,,,,,,,,,2020-05-20 16:40:00+00:00,Well-9,NIN
19.0,22.0,20.450704225352112,3003.0,3374.3,3301.3091549295773,51.6,57.5,55.936619718309856,210.7,368.2,235.34014084507044,224.1,231.1,226.04929577464793,274.6,288.5,279.9154929577464,0.3,0.4,0.3183098591549295,,,,,,,,,,,,,,,,,,,,,,2020-05-21 16:40:00+00:00,Well-9,NIN
19.0,20.0,19.944444444444443,3286.1,3374.5,3306.3611111111113,55.9,56.0,55.93055555555555,213.0,219.2,215.67916666666667,223.9,224.2,224.10416666666663,273.7,275.0,274.4013888888889,0.3,0.4,0.3319444444444444,,,,,,,,,,,,,,,,,,,,,,2020-05-22 16:40:00+00:00,Well-9,NIN
19.0,20.0,19.72222222222222,3272.5,3371.8,3350.4777777777776,55.4,56.0,55.8611111111111,212.9,219.8,215.82777777777775,224.1,224.2,224.17499999999998,272.1,274.6,274.1736111111111,0.3,0.4,0.3305555555555555,,,,,,,,,,,,,,,,,,,,,,2020-05-23 16:40:00+00:00,Well-9,NIN
17.0,20.0,18.26388888888889,2829.7,3272.6,3009.254166666667,55.5,57.0,56.83055555555555,225.3,307.9,291.36249999999995,224.4,226.8,226.36666666666667,270.3,273.0,271.11805555555554,0.3,0.4,0.3069444444444444,,,,,,,,,,,,,,,,,,,,,,2020-05-24 16:40:00+00:00,Well-9,NIN
17.0,21.0,18.125,2771.4,2855.1,2812.8263888888887,56.8,57.0,56.9263888888889,296.7,305.1,300.37222222222226,226.6,227.1,226.82638888888889,270.0,270.7,270.21666666666664,0.2,0.4,0.30416666666666664,,,,,,,,,,,,,,,,,,,,,,2020-05-25 16:40:00+00:00,Well-9,NIN
17.0,20.0,18.09722222222222,2754.9,2870.6,2809.3847222222225,56.9,57.0,56.92777777777777,294.7,305.6,299.6958333333334,226.9,227.1,226.98055555555558,270.0,270.7,270.33750000000003,0.2,0.4,0.2972222222222222,,,,,,,,,,,,,,,,,,,,,,2020-05-26 16:40:00+00:00,Well-9,NIN
17.0,19.0,17.916666666666668,2759.5,2858.1,2804.473611111111,56.8,57.0,56.94583333333334,298.0,303.7,301.56944444444446,227.1,227.3,227.18333333333328,270.1,270.7,270.39722222222224,0.2,0.4,0.3013888888888888,,,,,,,,,,,,,,,,,,,,,,2020-05-27 16:40:00+00:00,Well-9,NIN
17.0,20.0,18.055555555555557,2776.0,2910.8,2840.9284722222224,56.8,57.0,56.9375,274.2,305.5,293.7701388888888,226.6,227.5,227.11805555555554,270.1,271.2,270.6402777777778,0.2,0.4,0.30416666666666664,,,,,,,,,,,,,,,,,,,,,,2020-05-28 16:40:00+00:00,Well-9,NIN
17.0,18.5,17.76388888888889,2736.1,2919.2,2815.2437499999996,56.8,57.0,56.93680555555554,278.7,316.4,297.7048611111111,226.8,227.8,227.32222222222222,270.1,271.0,270.5736111111111,0.2,0.4,0.2972222222222222,,,,,,,,,,,,,,,,,,,,,,2020-05-29 16:40:00+00:00,Well-9,NIN
17.0,19.0,17.694444444444443,2692.0,2933.2,2806.8138888888884,56.8,57.0,56.95277777777778,272.4,320.7,303.11527777777775,226.8,228.0,227.58194444444447,270.0,271.2,270.58611111111105,0.2,0.4,0.2986111111111111,,,,,,,,,,,,,,,,,,,,,,2020-05-30 16:40:00+00:00,Well-9,NIN
17.0,18.0,17.625,2702.4,2897.4,2796.398611111111,56.8,57.1,56.94722222222221,285.3,319.0,303.05555555555554,227.1,228.2,227.70694444444447,270.1,270.9,270.5444444444445,0.2,0.4,0.30277777777777776,,,,,,,,,,,,,,,,,,,,,,2020-05-31 16:40:00+00:00,Well-9,NIN
17.0,19.0,17.59027777777778,2742.2,2936.7,2813.0993055555555,56.8,57.1,56.94398148148147,284.0,314.0,302.17592592592587,227.1,228.2,227.8136574074074,270.3,271.2,270.69351851851854,0.2,0.4,0.2979166666666666,,,,,,,,,,,,,,,,,,,,,,2020-06-01 16:40:00+00:00,Well-9,NIN
17.0,19.0,17.618055555555557,2667.6,2786.5,2725.5555555555557,56.8,57.1,56.94444444444444,314.4,319.3,317.81458333333336,228.2,228.4,228.35416666666666,270.1,270.7,270.4597222222222,0.2,0.4,0.2979166666666666,,,,,,,,,,,,,,,,,,,,,,2020-06-02 16:40:00+00:00,Well-9,NIN
17.0,18.25,17.49149440137812,350.92,2801.2,2089.1066435185185,55.2743023255814,57.0,56.68473137381568,318.7,654.2,380.2507638888889,218.3,228.6,226.0545833333333,218.5,270.9,256.13752314814815,0.1,0.3750000000000001,0.24868055555555557,,,,,,,,,,,,,,,,,,,,,,2020-06-03 16:40:00+00:00,Well-9,NIN
16.494186046511633,17.36627906976744,16.930232558139537,666.675,759.275,738.872800925926,51.26546511627907,55.19569767441861,53.230581395348835,661.275,755.6500000000003,735.1460648148148,218.3,220.5,219.61770833333333,218.45,220.575,219.7298611111111,0.1,0.2,0.12390046296296295,,,,,,,,,,,,,,,,,,,,,,2020-06-04 16:40:00+00:00,Well-9,NIN
,,,759.375,769.025,764.6322916666667,,,,755.7750000000003,765.4,761.0305092592594,220.3,220.5,220.44791666666666,220.4,220.62,220.54645833333336,0.1,0.2,0.13555555555555554,,,,,,,,,,,,,,,,,,,,,,2020-06-05 16:40:00+00:00,Well-9,NIN
14.0,24.25,19.269565217391303,769.225,3176.675,1160.809861111111,40.025,55.95,49.35992753623188,283.1,770.75,716.7780324074075,220.1,234.925,221.84310185185188,220.3,310.25,234.075625,0.1,0.4,0.16011805555555556,,,,,,,,,,,,,,,,,,,,,,2020-06-06 16:40:00+00:00,Well-9,NIN
18.75,21.0,19.09375,3106.9,3395.025,3180.839351851852,55.9,56.5,56.281597222222224,236.4,272.175,243.45810185185186,223.9,225.225,224.31076388888889,272.725,283.85,273.42939814814815,0.3011666666666666,0.312,0.30658333333333326,,,,,,,,,,,,,,,,,,,,,,2020-06-07 16:40:00+00:00,Well-9,NIN
18.5,19.0,18.913425925925928,3110.3,3147.9750000000013,3127.9071296296297,56.4,56.5,56.44513888888889,234.35,241.275,236.3157638888889,224.6,225.3,224.92856481481482,271.8,272.7333333333333,272.5028703703704,,,,,,,,,,,,,,,,,,,,,,,,,2020-06-08 16:40:00+00:00,Well-9,NIN
17.5,19.0,18.312206572769952,3010.1,3118.6000000000013,3049.944953051643,56.35,56.5,56.438732394366205,243.025,272.525,264.3097417840376,225.3,226.7,226.25281690140847,271.4,272.0,271.73884976525835,,,,,,,,,,,,,,,,,,,,,,,,,2020-06-09 16:40:00+00:00,Well-9,NIN
17.5,18.75,18.107443957115013,2999.725,3069.4,3027.3336988304095,56.35,56.5,56.43886817738792,256.925,274.15,270.28359770955166,226.2,226.9000000000001,226.75208333333336,271.6,271.9,271.7909953703704,,,,,,,,,,,,,,,,,,,,,,,,,2020-06-10 16:40:00+00:00,Well-9,NIN
17.736842105263158,18.05,17.960160818713447,2992.925000000001,3017.86,3007.130166910332,56.425,56.48,56.44520183560754,273.04,274.585,273.94980994152047,226.90000000000003,227.1,227.03689327485375,271.61000000000007,271.81000000000006,271.74713775178697,0.2,0.365,0.29761194029850735,,,,,,,,,,,,,,,,,,,,,,2020-06-11 16:40:00+00:00,Well-9,NIN
17.9,18.05,17.990972222222226,2994.835,3041.66,3020.237391640867,56.415,56.46,56.44214353285174,273.28000000000003,274.16,273.77569143446846,227.1,227.30000000000007,227.21809640522883,271.65000000000003,272.07000000000005,271.8566944014449,0.255,0.3850000000000001,0.3029130116959063,,,,,,,,,,,,,,,,,,,,,,2020-06-12 16:40:00+00:00,Well-9,NIN
17.85,18.0,17.97704678362573,2992.3950000000004,3019.4950000000013,3009.1227741228067,56.42,56.46499999999999,56.44357456140351,272.23999999999995,273.5250000000001,272.8724780701754,227.2800000000001,227.30000000000007,227.29972222222236,271.80500000000006,271.92499999999995,271.86630847953217,0.2,0.3750000000000001,0.3032090643274853,,,,,,,,,,,,,,,,,,,,,,2020-06-13 16:40:00+00:00,Well-9,NIN
17.55,18.05,17.978326023391812,2985.890000000001,3052.9200000000005,3013.525793128655,56.41052631578946,56.47000000000001,56.44250730994151,271.58500000000004,272.7,272.1959429824562,227.30000000000007,227.47000000000003,227.31541666666678,270.61499999999995,272.84000000000003,271.8730153508772,0.2749999999999999,0.4000000000000001,0.30776681286549695,,,,,,,,,,,,,,,,,,,,,,2020-06-14 16:40:00+00:00,Well-9,NIN
