Av_Amp_min,Av_Amp_max,Av_Amp_pro,Ds_Pre_min,Ds_Pre_max,Ds_Pre_pro,Dr_Fre_min,Dr_Fre_max,Dr_Fre_pro,Int_Pre_min,Int_Pre_max,Int_Pre_pro,Int_Tmp_min,Int_Tmp_max,Int_Tmp_pro,Mo_Tmp_min,Mo_Tmp_max,Mo_Tmp_pro,Vib_min,Vib_max,Vib_pro,Pas_Cur_min,Pas_Cur_max,Pas_Cur_pro,Act_Cur_min,Act_Cur_max,Act_Cur_pro,Mot_Ld_min,Mot_Ld_max,Mot_Ld_pro,Zer_Cur_min,Zer_Cur_max,Zer_Cur_pro,Inp_Volt_min,Inp_Volt_max,Inp_Volt_pro,Out_vol_min,Out_vol_max,Out_vol_pro,VSD_min,VSD_max,VSD_pro,Time_Inic,Pozo,tipo_causa
31.0,31.0,31.0,,,,51.9,52.0,51.945833333333326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-01 00:00:00+00:00,Well-53,NIN
31.0,31.0,31.0,,,,51.9,52.0,51.951388888888886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-02 00:00:00+00:00,Well-53,NIN
31.0,31.0,31.0,,,,51.9,52.0,51.94444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-03 00:00:00+00:00,Well-53,NIN
31.0,31.0,31.0,,,,51.9,52.0,51.949999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-04 00:00:00+00:00,Well-53,NIN
31.0,31.0,31.0,,,,51.9,52.0,51.945833333333326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-05 00:00:00+00:00,Well-53,NIN
31.0,32.0,31.06161971830986,,,,51.9,52.0,51.9455985915493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-06 00:00:00+00:00,Well-53,SD
31.0,31.0,31.0,,,,51.9,52.0,51.944444444444436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-07 00:00:00+00:00,Well-53,NIN
31.0,32.0,31.068840579710145,,,,51.9,52.0,51.950362318840575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-08 00:00:00+00:00,Well-53,SD
31.0,32.0,31.01388888888889,,,,51.9,52.0,51.951388888888886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-09 00:00:00+00:00,Well-53,NIN
31.0,31.0,31.0,,,,51.9,52.0,51.95277777777777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-10 00:00:00+00:00,Well-53,NIN
31.0,31.0,31.0,,,,51.9,52.0,51.94722222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-11 00:00:00+00:00,Well-53,NIN
31.0,32.0,31.097311139564656,,,,51.9,52.0,51.943661971830984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-12 00:00:00+00:00,Well-53,NIN
31.0,31.0,31.0,,,,51.9,52.0,51.9486111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-13 00:00:00+00:00,Well-53,NIN
31.0,32.0,31.01388888888889,,,,51.9,52.0,51.952777777777776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-14 00:00:00+00:00,Well-53,NIN
31.0,31.0,31.0,,,,51.9,52.0,51.94305555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-15 00:00:00+00:00,Well-53,NIN
31.0,31.0,31.0,,,,51.9,52.0,51.941666666666656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-16 00:00:00+00:00,Well-53,NIN
