Av_Amp_min,Av_Amp_max,Av_Amp_pro,Ds_Pre_min,Ds_Pre_max,Ds_Pre_pro,Dr_Fre_min,Dr_Fre_max,Dr_Fre_pro,Int_Pre_min,Int_Pre_max,Int_Pre_pro,Int_Tmp_min,Int_Tmp_max,Int_Tmp_pro,Mo_Tmp_min,Mo_Tmp_max,Mo_Tmp_pro,Vib_min,Vib_max,Vib_pro,Pas_Cur_min,Pas_Cur_max,Pas_Cur_pro,Act_Cur_min,Act_Cur_max,Act_Cur_pro,Mot_Ld_min,Mot_Ld_max,Mot_Ld_pro,Zer_Cur_min,Zer_Cur_max,Zer_Cur_pro,Inp_Volt_min,Inp_Volt_max,Inp_Volt_pro,Out_vol_min,Out_vol_max,Out_vol_pro,VSD_min,VSD_max,VSD_pro,Time_Inic,Pozo,tipo_causa
23.1,24.0,23.532999999999998,3729.7,3766.6,3753.475,57.5,57.5,57.5,220.6,225.25,223.996,237.6,237.7,237.69300000000004,266.0,266.45,266.30500000000006,0.2,0.4,0.27799999999999997,0.078,0.099,0.08694999999999999,0.226,0.235,0.22816999999999996,,,,,,,,,,,,,,,,2020-01-10 21:00:00+00:00,Well-1,NIN
22.95,23.7,23.333673469387758,3672.7,3755.6,3732.062244897959,57.5,57.5,57.5,210.9,220.5,218.0051020408163,237.65,237.9,237.715306122449,266.0,266.5,266.3061224489796,0.2,0.4,0.2775510204081633,0.073,0.098,0.08511224489795918,0.223,0.23,0.22716326530612238,,,,,,,,,,,,,,,,2020-01-11 21:20:00+00:00,Well-1,NIN
23.4,24.35,23.791666666666668,3733.9,3758.6,3750.3854166666665,57.5,57.5,57.5,211.85,219.9,217.27604166666666,237.6,237.9,237.71041666666667,266.0,266.5,266.2760416666667,0.2,0.3,0.278125,0.072,0.102,0.08680208333333332,0.2269999999999999,0.235,0.2289270833333333,,,,,,,,,,,,,,,,2020-01-12 21:20:00+00:00,Well-1,NIN
23.4,24.0,23.68715277777778,3728.4,3747.35,3736.8697916666665,57.5,57.5,57.5,212.3,217.3,214.165625,237.6,237.9,237.73541666666665,266.0,266.4,266.29791666666665,0.2,0.4,0.28020833333333334,0.079,0.109,0.09012499999999997,0.2269999999999999,0.237,0.22978124999999996,,,,,,,,,,,,,,,,2020-01-13 21:20:00+00:00,Well-1,NIN
23.4,24.3,23.8265306122449,3739.9,3750.75,3743.724489795919,57.5,57.5,57.5,213.3,214.5,213.9591836734694,237.6,238.1,237.72346938775513,266.2,266.5,266.30204081632655,0.2,0.4,0.29183673469387755,0.071,0.105,0.08906122448979589,0.2269999999999999,0.236,0.23019387755102036,,,,,,,,,,,,,,,,2020-01-14 21:20:00+00:00,Well-1,NIN
23.1,23.7,23.402127659574465,3663.1,3738.35,3693.577304964539,57.5,57.5,57.5,196.7,213.35,206.50992907801415,237.7,238.0,237.8886524822695,266.0,266.5,266.2687943262411,0.2,0.3,0.2861702127659575,0.076,0.104,0.0879822695035461,0.223,0.237,0.22782269503546096,,,,,,,,,,,,,,,,2020-01-15 21:20:00+00:00,Well-1,NIN
23.2,24.2,23.686734693877554,3666.3,3748.8,3720.3374149659867,57.5,57.5,57.5,193.0,204.5,198.7795918367347,237.9,239.5,238.15884353741495,264.7,266.5,266.1714285714286,0.2,0.4,0.27823129251700685,0.072,0.1009999999999999,0.08630952380952382,0.226,0.2339999999999999,0.22882312925170065,,,,,,,,,,,,,,,,2020-01-16 21:20:00+00:00,Well-1,NIN
23.1,24.35,23.667346938775513,3731.6,3757.0,3747.1149659863945,57.5,57.5,57.5,205.5,215.0,212.2704081632653,237.6,238.1,237.84625850340137,266.0,266.7,266.3816326530612,0.2,0.3,0.25170068027210885,0.078,0.102,0.08883673469387753,0.225,0.237,0.2293877551020408,,,,,,,,,,,,,,,,2020-01-17 21:20:00+00:00,Well-1,NIN
23.1,24.2,23.569791666666664,3727.1,3736.6,3732.085416666667,57.5,57.5,57.5,209.4,213.5,211.26458333333335,237.7,238.1,237.85833333333335,266.0,266.5,266.31041666666664,0.2,0.4,0.2916666666666667,0.071,0.0995,0.08524999999999998,0.226,0.235,0.22835416666666664,,,,,,,,,,,,,,,,2020-01-18 21:20:00+00:00,Well-1,NIN
23.1,23.6,23.325,3728.6,3771.3,3734.1645833333337,57.5,57.5,57.5,208.0,216.4,209.2854166666667,237.7,238.1,237.89375000000004,266.2,266.9,266.43125000000003,0.2,0.4,0.2833333333333334,0.074,0.103,0.08521875,0.222,0.231,0.22652083333333328,,,,,,,,,,,,,,,,2020-01-19 21:20:00+00:00,Well-1,NIN
