Av_Amp_min,Av_Amp_max,Av_Amp_pro,Ds_Pre_min,Ds_Pre_max,Ds_Pre_pro,Dr_Fre_min,Dr_Fre_max,Dr_Fre_pro,Int_Pre_min,Int_Pre_max,Int_Pre_pro,Int_Tmp_min,Int_Tmp_max,Int_Tmp_pro,Mo_Tmp_min,Mo_Tmp_max,Mo_Tmp_pro,Vib_min,Vib_max,Vib_pro,Pas_Cur_min,Pas_Cur_max,Pas_Cur_pro,Act_Cur_min,Act_Cur_max,Act_Cur_pro,Mot_Ld_min,Mot_Ld_max,Mot_Ld_pro,Zer_Cur_min,Zer_Cur_max,Zer_Cur_pro,Inp_Volt_min,Inp_Volt_max,Inp_Volt_pro,Out_vol_min,Out_vol_max,Out_vol_pro,VSD_min,VSD_max,VSD_pro,Time_Inic,Pozo,tipo_causa
43.0,43.0,43.0,4105.2,4183.8,4142.474647887324,61.9,61.9,61.89999999999997,606.6,630.9,619.3591549295775,223.0,223.3,223.19859154929586,313.9,314.4,314.1478873239436,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-15 17:00:00+00:00,Well-56,NIN
43.0,43.0,43.0,4086.9,4181.9,4151.743055555556,61.9,61.9,61.89999999999999,608.0,635.4,625.7402777777778,223.0,223.3,223.19861111111112,313.0,314.4,314.0784722222222,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-16 17:00:00+00:00,Well-56,NIN
43.0,43.0,43.0,4110.9,4188.4,4161.7140845070435,61.9,62.0,61.9014084507042,611.5,640.5,627.4422535211268,223.0,223.3,223.18732394366205,313.7,314.4,314.1070422535211,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-17 17:00:00+00:00,Well-56,NIN
43.0,43.0,43.0,4072.1,4186.3,4137.299285714285,61.9,62.0,61.90142857142855,599.7,634.1,619.5807142857143,223.0,223.3,223.19785714285723,313.7,315.0,314.3939285714286,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-18 17:40:00+00:00,Well-56,NIN
43.0,43.0,43.0,4063.8,4173.1,4114.78309859155,61.8,61.9,61.89859154929575,599.8,620.4,612.7676056338029,223.0,223.3,223.2014084507043,314.1,314.6,314.2676056338029,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-19 17:40:00+00:00,Well-56,NIN
43.0,43.0,43.0,4066.6,4172.3,4109.35352112676,61.9,62.0,61.9014084507042,603.7,622.3,614.4084507042254,223.0,223.5,223.2084507042254,313.9,314.4,314.1647887323943,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-20 17:40:00+00:00,Well-56,NIN
43.0,43.0,43.0,4064.9,4163.6,4092.8777777777777,61.9,62.0,61.90138888888888,603.3,621.0,611.8874999999999,223.0,223.5,223.2180555555556,313.9,314.4,314.0986111111111,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-21 17:40:00+00:00,Well-56,NIN
36.0,44.0,42.25352112676056,1944.4,4217.7,3975.21690140845,52.4,62.0,60.93863179074445,601.1,1169.8,720.9802816901408,223.0,223.5,223.1281690140845,225.1,317.1,306.6267605633803,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-22 17:40:00+00:00,Well-56,NIN
43.0,43.0,43.0,4080.3,4171.0,4136.318309859154,61.9,61.9,61.89999999999997,642.8,728.0,673.830985915493,222.8,223.3,223.1352112676057,313.9,315.3,314.35070422535205,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-23 17:40:00+00:00,Well-56,NIN
43.0,43.0,43.0,4061.6,4174.6,4115.715277777777,61.9,61.9,61.89999999999999,629.0,650.3,642.3375,223.2,223.3,223.2041666666667,313.5,314.2,313.8861111111111,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-24 17:40:00+00:00,Well-56,NIN
43.0,43.0,43.0,4054.6,4171.8,4105.929850746268,61.9,61.9,61.89999999999999,625.7,652.1,640.0805970149253,223.2,223.2,223.20000000000005,313.3,313.9,313.53880597014927,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-25 17:40:00+00:00,Well-56,NIN
43.0,43.0,43.0,4074.6,4180.2,4135.981690140845,61.8,62.0,61.899999999999984,630.7,654.4,646.5901408450703,223.2,223.2,223.20000000000007,313.0,313.7,313.27887323943656,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-26 17:40:00+00:00,Well-56,NIN
43.0,43.0,43.0,4062.4,4180.5,4123.269444444444,61.9,62.0,61.902777777777764,626.0,648.8,639.8680555555555,223.2,223.2,223.20000000000002,313.0,313.5,313.2597222222223,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-27 17:40:00+00:00,Well-56,NIN
42.0,43.0,42.986111111111114,4082.2,4171.6,4119.4736111111115,61.9,62.0,61.902777777777764,625.4,642.6,635.7930555555555,223.2,223.2,223.20000000000002,312.8,313.3,313.13194444444446,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-28 17:40:00+00:00,Well-56,NIN
43.0,43.0,43.0,4056.1,4168.6,4113.011428571428,61.9,62.0,61.90142857142855,617.5,639.0,628.6271428571429,223.2,223.2,223.20000000000007,312.8,313.5,313.06142857142856,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-29 17:40:00+00:00,Well-56,NIN
43.0,43.0,43.0,4069.1,4175.2,4127.791304347827,61.9,62.0,61.902898550724615,608.0,635.8,626.0768115942029,223.2,223.2,223.20000000000007,312.6,313.2,312.8840579710145,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-30 17:40:00+00:00,Well-56,NIN
42.0,43.0,42.970588235294116,4074.9,4241.3,4134.9926470588225,61.9,62.0,61.901470588235284,603.3,662.1,622.1845588235295,223.2,223.2,223.20000000000005,312.4,313.0,312.7352941176471,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-31 17:40:00+00:00,Well-56,NIN
42.0,43.0,42.985915492957744,4042.3,4214.1,4087.2929577464797,61.9,62.0,61.9014084507042,597.6,664.6,622.9788732394367,223.0,223.2,223.19718309859167,312.4,313.3,312.7929577464789,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-01 17:40:00+00:00,Well-56,SD
22.0,43.0,40.564338235294116,1368.2,4196.9,3838.6705882352944,30.0,61.9,58.78253676470588,594.2,1232.3,739.114705882353,222.6,223.2,223.09117647058824,223.0,312.8,300.6220588235294,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-02 17:40:00+00:00,Well-56,NIN
40.0,43.0,42.20289855072464,4046.3,4177.0,4088.3318840579705,59.9,61.9,61.217391304347814,648.4,758.1,691.7550724637681,223.0,223.2,223.0260869565218,304.5,314.2,310.78840579710146,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-03 17:40:00+00:00,Well-56,SD
