Av_Amp_min,Av_Amp_max,Av_Amp_pro,Ds_Pre_min,Ds_Pre_max,Ds_Pre_pro,Dr_Fre_min,Dr_Fre_max,Dr_Fre_pro,Int_Pre_min,Int_Pre_max,Int_Pre_pro,Int_Tmp_min,Int_Tmp_max,Int_Tmp_pro,Mo_Tmp_min,Mo_Tmp_max,Mo_Tmp_pro,Vib_min,Vib_max,Vib_pro,Pas_Cur_min,Pas_Cur_max,Pas_Cur_pro,Act_Cur_min,Act_Cur_max,Act_Cur_pro,Mot_Ld_min,Mot_Ld_max,Mot_Ld_pro,Zer_Cur_min,Zer_Cur_max,Zer_Cur_pro,Inp_Volt_min,Inp_Volt_max,Inp_Volt_pro,Out_vol_min,Out_vol_max,Out_vol_pro,VSD_min,VSD_max,VSD_pro,Time_Inic,Pozo,tipo_causa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-03 11:00:00+00:00,Well-60,NIN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-05 20:20:00+00:00,Well-60,NIN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-08 23:20:00+00:00,Well-60,NIN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-10 00:00:00+00:00,Well-60,NIN
,,,2047.3,2053.4,2050.2981481481484,,,,2055.4,2061.4,2058.337962962963,225.1,225.1,225.10000000000002,225.9,226.0,225.92037037037036,0.1,0.2,0.15185185185185185,0.473,0.522,0.49603703703703705,0.422,0.431,0.4249818181818182,,,,,,,,,,,,,,,,2020-05-11 00:40:00+00:00,Well-60,NIN
,,,2053.4,2059.7,2056.5572727272724,,,,2061.4,2067.8,2064.5809090909092,225.1,225.1,225.10000000000002,225.7,226.0,225.90545454545455,0.1,0.2,0.1613636363636363,0.474,0.52,0.4915545454545455,0.422,0.43,0.42385454545454543,,,,,,,,,,,,,,,,2020-05-12 01:00:00+00:00,Well-60,NIN
,,,2059.8,2065.6,2062.8508928571428,,,,2067.8,2073.6,2070.8910714285716,225.1,225.1,225.09999999999997,225.7,226.0,225.91696428571433,0.1,0.2,0.14821428571428572,0.462,0.4970000000000001,0.4782232142857143,0.421,0.424,0.42216964285714287,,,,,,,,,,,,,,,,2020-05-13 01:00:00+00:00,Well-60,NIN
,,,2065.9,2071.5,2068.5556603773584,,,,2073.9,2079.4,2076.5877358490566,225.1,225.1,225.10000000000002,225.9,226.0,225.91603773584902,0.1,0.2,0.14757412398921832,0.4589999999999999,0.517,0.48220754716981135,0.421,0.428,0.42301886792452825,,,,,,,,,,,,,,,,2020-05-14 01:00:00+00:00,Well-60,NIN
23.10208333333333,24.5,23.78833333333333,2028.4,3312.85,2085.1805084745765,48.28125,50.0,49.125,2037.0,2083.6,2071.8661016949154,224.6,225.3,224.9830508474576,225.0,245.2,226.12203389830506,0.1,0.2,0.1584745762711864,0.4205,0.506,0.4815338983050848,0.421,0.425,0.42272881355932207,,,,,,,,,,,,,,,,2020-05-15 01:00:00+00:00,Well-60,NIN
19.925,22.975,21.471180555555552,2058.6,2078.5,2072.301818181818,44.375,48.125,46.276041666666664,2067.3,2087.2,2081.0018181818177,224.6,225.1,224.90909090909093,225.1,225.9,225.60181818181817,0.1,0.2,0.13090909090909086,0.467,0.489,0.47844545454545456,0.421,0.423,0.4220000000000001,,,,,,,,,,,,,,,,2020-05-16 01:00:00+00:00,Well-60,NIN
16.2,27.7,24.294999999999998,2078.2,4928.9,4225.349166666666,40.0,55.0,52.027166666666666,682.6,2084.8,1204.7741666666666,224.1,239.2,226.9811111111111,228.9,288.1,272.77666666666664,0.1,0.3,0.26750000000000007,0.184,0.386,0.33078888888888885,0.422,0.4429999999999999,0.42648888888888886,,,,,,,,,,,,,,,,2020-05-17 01:00:00+00:00,Well-60,NIN
25.9,26.2,26.047878787878794,4199.3,4215.1,4208.8987878787875,55.0,55.0,55.0,630.5333333333333,680.1,650.9678787878788,225.9,226.2,226.1018181818183,272.7,273.6,273.11939393939394,0.2,0.3,0.28181818181818186,0.348,0.38,0.3607272727272728,0.425,0.4273333333333334,0.4258969696969697,,,,,,,,,,,,,,,,2020-05-18 01:00:00+00:00,Well-60,NIN
25.8,26.1,25.92881355932204,4198.4,4212.9,4206.661016949152,55.0,55.0,55.0,597.9,629.6,613.7822033898304,226.2,226.4,226.32542372881355,273.2,273.9,273.61101694915254,0.2,0.4,0.2898305084745763,0.3389999999999999,0.381,0.35921186440677966,0.4270000000000001,0.44,0.4359661016949153,,,,,,,,,,,,,,,,2020-05-19 01:00:00+00:00,Well-60,NIN
25.6,25.9,25.807407407407407,4176.0,4220.8,4202.574074074074,55.0,55.0,55.0,545.1,597.1,568.1009259259258,226.4,226.6,226.4555555555556,273.0,273.9,273.65370370370374,0.2,0.4,0.2944444444444445,0.342,0.402,0.36370370370370364,0.425,0.439,0.42975925925925923,,,,,,,,,,,,,,,,2020-05-20 01:00:00+00:00,Well-60,NIN
25.6,25.8,25.672321428571426,4168.4,4210.6,4194.008928571428,55.0,55.0,55.0,521.5,546.1,534.5794642857143,226.6,226.8,226.61071428571424,273.0,273.9,273.4946428571429,0.2,0.3,0.27767857142857144,0.226,0.3979999999999999,0.36232142857142857,0.426,0.434,0.4286964285714286,,,,,,,,,,,,,,,,2020-05-21 01:00:00+00:00,Well-60,NIN
25.5,25.8,25.671830985915495,4174.5,4215.7,4201.322535211268,55.0,55.0,55.0,517.3,540.0,529.3084507042254,226.6,226.8,226.7830985915492,273.0,274.1,273.4718309859155,0.2,0.3,0.2704225352112677,0.351,0.4,0.3717887323943662,0.426,0.447,0.4408028169014083,,,,,,,,,,,,,,,,2020-05-22 01:00:00+00:00,Well-60,NIN
25.6,25.8,25.690277777777776,4176.5,4213.8,4195.808333333333,55.0,55.0,55.0,516.8,541.6,533.3333333333334,226.8,226.8,226.79999999999998,273.4,274.3,273.67499999999995,0.2,0.3,0.2708333333333333,0.355,0.3989999999999999,0.37009027777777775,0.442,0.451,0.4472638888888889,,,,,,,,,,,,,,,,2020-05-23 01:00:00+00:00,Well-60,NIN
25.6,25.8,25.694202898550724,4173.1,4211.1,4198.503623188405,55.0,55.0,55.0,515.8,541.6,532.6297101449275,226.8,226.8,226.79999999999993,273.2,274.5,273.8467391304348,0.2,0.3,0.2804347826086957,0.357,0.4,0.37260869565217386,0.442,0.449,0.44715217391304357,,,,,,,,,,,,,,,,2020-05-24 01:00:00+00:00,Well-60,NIN
25.6,25.8,25.698611111111106,4184.1,4211.7,4197.382638888889,55.0,55.0,55.0,527.9,540.9,536.2020833333333,226.8,226.8,226.79999999999998,273.4,274.5,273.8861111111111,0.2,0.4,0.2833333333333333,0.287,0.385,0.3654513888888889,0.445,0.45,0.44861111111111107,,,,,,,,,,,,,,,,2020-05-25 01:00:00+00:00,Well-60,NIN
25.6,25.9,25.71111111111111,4180.3,4207.3,4198.127777777778,55.0,55.0,55.0,514.3,540.0,533.9944444444445,226.8,226.8,226.79999999999998,273.6,274.5,273.8958333333333,0.2,0.4,0.2777777777777778,0.354,0.39,0.3651111111111111,0.444,0.452,0.448875,,,,,,,,,,,,,,,,2020-05-26 01:00:00+00:00,Well-60,NIN
25.6,25.8,25.713043478260875,4180.6,4204.5,4194.7478260869575,55.0,55.0,55.0,525.5,537.1,532.5282608695651,226.8,226.8,226.7999999999999,273.7,274.8,274.0282608695652,0.2,0.3,0.2652173913043478,0.356,0.377,0.364,0.449,0.452,0.4509347826086958,,,,,,,,,,,,,,,,2020-05-27 01:00:00+00:00,Well-60,NIN
25.7,25.8,25.72903225806452,4181.5,4207.9,4194.709677419354,55.0,55.0,55.0,528.8,546.6,542.9225806451614,226.8,226.8,226.80000000000007,273.7,274.6,274.0516129032258,0.2,0.4,0.2741935483870967,0.361,0.4029999999999999,0.3814516129032258,0.4429999999999999,0.4539999999999999,0.4464516129032258,,,,,,,,,,,,,,,,2020-05-28 01:00:00+00:00,Well-60,NIN
25.6,25.8,25.747222222222224,4177.6,4209.0,4193.984722222222,55.0,55.0,55.0,522.1,541.7,536.161111111111,226.8,226.8,226.79999999999998,273.7,274.8,274.1402777777778,0.2,0.3,0.2833333333333333,0.352,0.392,0.3717847222222222,0.444,0.4539999999999999,0.45038888888888884,,,,,,,,,,,,,,,,2020-05-29 01:00:00+00:00,Well-60,NIN
25.6,25.9,25.729166666666668,4168.3,4205.4,4190.525,55.0,55.0,55.0,517.7,546.1,538.1402777777778,226.8,226.8,226.79999999999998,273.7,275.0,274.2819444444445,0.2,0.4,0.2791666666666667,0.354,0.391,0.37013888888888885,0.445,0.4539999999999999,0.4496527777777778,,,,,,,,,,,,,,,,2020-05-30 01:00:00+00:00,Well-60,NIN
25.6,25.8,25.727777777777778,4156.2,4205.5,4187.726388888889,55.0,55.0,55.0,516.6,545.8,537.4069444444444,226.8,226.8,226.79999999999998,273.9,275.0,274.4069444444444,0.2,0.3,0.29027777777777775,0.351,0.4,0.37177777777777776,0.4429999999999999,0.4539999999999999,0.4508055555555555,,,,,,,,,,,,,,,,2020-05-31 01:00:00+00:00,Well-60,NIN
25.7,25.9,25.757746478873237,4166.6,4190.7,4178.598591549296,55.0,55.0,55.0,528.6,540.1,533.407042253521,226.8,226.8,226.79999999999993,274.1,275.2,274.64929577464784,0.2,0.3,0.2760563380281691,0.363,0.39,0.37076056338028174,0.4479999999999999,0.456,0.4522253521126761,,,,,,,,,,,,,,,,2020-06-01 01:00:00+00:00,Well-60,NIN
25.7,25.9,25.78591549295775,4162.9,4187.9,4173.850704225352,55.0,55.0,55.0,524.3,534.9,530.874647887324,226.8,226.8,226.79999999999993,273.9,275.4,274.7098591549296,0.2,0.4,0.26901408450704234,0.361,0.412,0.3725070422535211,0.4429999999999999,0.4539999999999999,0.4511126760563382,,,,,,,,,,,,,,,,2020-06-02 01:00:00+00:00,Well-60,NIN
25.7,25.9,25.795833333333334,4166.1,4195.6,4177.265277777778,55.0,55.0,55.0,523.6,538.6,531.9180555555556,226.8,226.9,226.80138888888888,274.3,275.2,274.7125,0.2,0.4,0.2694444444444445,0.35,0.382,0.36443055555555554,0.445,0.4539999999999999,0.4500277777777778,,,,,,,,,,,,,,,,2020-06-03 01:00:00+00:00,Well-60,NIN
25.602293577981648,25.85,25.709197672443086,579.85,4192.4,2390.1734722222222,53.865825688073386,55.0,54.629818106523956,522.4,1845.375,1097.2477314814814,225.5,226.80000000000004,226.3090277777778,226.2,275.26666666666665,244.41550925925924,0.1,0.3,0.18347222222222223,0.358,0.51775,0.4421407407407407,0.421,0.4539999999999999,0.4350972222222222,,,,,,,,,,,,,,,,2020-06-04 01:00:00+00:00,Well-60,NIN
25.51880733944953,25.59908256880734,25.55894495412844,1847.15,2041.65,1983.1695601851852,53.22477064220183,53.84116972477064,53.53297018348625,1853.625,2048.025,1989.6122685185182,225.1,225.45,225.2196759259259,225.9,226.2,226.00590277777778,0.1,0.2,0.13680555555555554,0.47025,0.4995000000000001,0.47995486111111113,0.421,0.426,0.422388888888889,,,,,,,,,,,,,,,,2020-06-05 01:00:00+00:00,Well-60,NIN
,,,2042.0,2061.65,2054.276851851852,,,,2048.4,2068.05,2060.707986111111,225.5,225.9,225.6951388888889,226.0,226.6,226.36875,0.1,0.2,0.15659722222222222,0.46425,0.516,0.48390972222222217,0.421,0.431,0.4237152777777778,,,,,,,,,,,,,,,,2020-06-06 01:00:00+00:00,Well-60,NIN
25.05,28.1,26.6462962962963,2061.3,4351.75,3390.8522916666666,49.625,55.0,54.88055555555555,609.175,2069.725,1389.6617824074074,224.6,226.4,225.83298611111113,226.4,279.45000000000005,256.7678703703703,0.1,0.3,0.23368055555555559,0.377,0.4925000000000001,0.4256111111111111,0.422,0.457,0.4392152777777778,,,,,,,,,,,,,,,,2020-06-07 01:00:00+00:00,Well-60,NIN
25.8,25.925,25.872337962962963,4144.55,4196.95,4182.490625,55.0,55.0,55.0,572.75,604.725,576.8956018518518,226.4,226.80000000000004,226.69791666666663,273.2,274.675,274.103587962963,0.2,0.35,0.28680555555555554,0.37225,0.416,0.3843078703703704,0.449,0.461,0.4558993055555556,,,,,,,,,,,,,,,,2020-06-08 01:00:00+00:00,Well-60,NIN
24.0,27.70000000000001,25.937339154411763,1046.1,4301.35,3759.2518229166667,47.53333333333333,55.0,54.1421568627451,562.5749999999998,1376.1,776.05078125,225.3,226.80000000000004,226.50039062500002,226.25,278.7,267.82161458333337,0.1,0.375,0.2549479166666667,0.3745000000000001,0.5035000000000001,0.39942057291666666,0.415,0.462,0.44899869791666663,,,,,,,,,,,,,,,,2020-06-09 01:00:00+00:00,Well-60,NIN
25.8,26.1,25.928985507246374,4106.5,4201.7,4168.323188405796,55.0,55.0,55.0,529.7,705.0,587.9202898550724,226.4,226.8,226.7101449275362,273.9,275.0,274.4420289855072,0.2,0.3,0.27246376811594203,0.368,0.407,0.387536231884058,0.444,0.4579999999999999,0.4520289855072464,,,,,,,,,,,,,,,,2020-06-10 01:00:00+00:00,Well-60,NIN
25.8,26.0,25.936619718309867,4157.5,4196.9,4178.26338028169,55.0,55.0,55.0,537.2,561.6,554.2915492957746,226.8,226.8,226.79999999999993,273.7,275.2,274.43380281690133,0.2,0.4,0.28732394366197184,0.37,0.414,0.38721126760563374,0.4429999999999999,0.4579999999999999,0.45171830985915484,,,,,,,,,,,,,,,,2020-06-11 01:00:00+00:00,Well-60,NIN
25.8,26.0,25.936111111111114,4157.9,4204.1,4184.805555555556,55.0,55.0,55.0,531.7,562.6,554.5055555555556,226.8,226.8,226.79999999999998,274.3,275.0,274.66388888888895,0.2,0.3,0.26944444444444443,0.37,0.4270000000000001,0.39172222222222225,0.4479999999999999,0.456,0.45422222222222214,,,,,,,,,,,,,,,,2020-06-12 01:00:00+00:00,Well-60,NIN
25.8,26.1,25.929166666666667,4165.4,4202.0,4185.105555555555,55.0,55.0,55.0,543.2,560.8,553.8458333333333,226.8,226.8,226.79999999999998,274.3,275.0,274.625,0.2,0.3,0.2527777777777778,0.204,0.409,0.38566666666666666,0.441,0.4589999999999999,0.4559166666666666,,,,,,,,,,,,,,,,2020-06-13 01:00:00+00:00,Well-60,NIN
25.8,26.25,25.960211267605644,565.7,4200.1,4078.590140845069,55.0,55.0,55.0,521.8,637.0,548.2056338028169,226.8,226.8,226.79999999999993,234.3,274.8,273.9436619718309,0.2,0.3,0.27746478873239433,0.364,0.449,0.3843380281690141,0.416,0.461,0.454943661971831,,,,,,,,,,,,,,,,2020-06-14 01:00:00+00:00,Well-60,NIN
25.8,26.5,26.01527777777778,683.7,4205.2,4126.5895833333325,55.0,55.0,55.0,539.3,690.4,570.1381944444444,226.8,226.8,226.79999999999998,228.0,276.6,273.9513888888889,0.1,0.4,0.2798611111111111,0.337,0.4579999999999999,0.3744236111111111,0.416,0.462,0.44793055555555544,,,,,,,,,,,,,,,,2020-06-15 01:00:00+00:00,Well-60,NIN
25.8,26.1,25.956944444444446,4150.5,4187.4,4175.829166666666,55.0,55.0,55.0,532.8,546.8,541.6041666666666,226.8,226.8,226.79999999999998,273.9,274.8,274.49722222222226,0.1,0.4,0.27499999999999997,0.362,0.407,0.37902777777777774,0.439,0.4539999999999999,0.44854166666666667,,,,,,,,,,,,,,,,2020-06-16 01:00:00+00:00,Well-60,NIN
25.8,26.1,25.95441176470589,4156.1,4188.4,4175.089705882353,55.0,55.0,55.0,532.9,545.9,539.0882352941176,226.8,226.8,226.79999999999995,273.9,274.8,274.35735294117643,0.2,0.4,0.2588235294117647,0.354,0.411,0.38305882352941173,0.439,0.457,0.44923529411764707,,,,,,,,,,,,,,,,2020-06-17 01:00:00+00:00,Well-60,NIN
25.8,26.1,25.94000000000001,4142.9,4187.8,4171.215714285714,55.0,55.0,55.0,511.5,546.7,539.1157142857143,226.8,226.9,226.8042857142856,273.7,274.6,274.18999999999994,0.2,0.3,0.26857142857142857,0.364,0.409,0.3806714285714286,0.4479999999999999,0.4589999999999999,0.45181428571428583,,,,,,,,,,,,,,,,2020-06-18 01:00:00+00:00,Well-60,NIN
25.8,26.2,25.96478873239437,4149.0,4192.1,4178.569014084507,55.0,55.0,55.0,514.4,548.3,537.8633802816903,226.8,226.9,226.8042253521126,273.7,274.6,274.1014084507042,0.2,0.4,0.28169014084507055,0.364,0.401,0.3770704225352113,0.4479999999999999,0.451,0.4496338028169015,,,,,,,,,,,,,,,,2020-06-19 01:00:00+00:00,Well-60,NIN
25.7,26.1,25.91111111111111,4162.6,4191.2,4177.781944444445,55.0,55.0,55.0,519.8,549.3,543.6833333333333,226.8,226.9,226.80277777777778,273.6,274.6,274.0416666666667,0.2,0.3,0.26805555555555555,0.354,0.406,0.3738194444444444,0.449,0.4539999999999999,0.45118055555555553,,,,,,,,,,,,,,,,2020-06-20 01:00:00+00:00,Well-60,NIN
25.7,26.1,25.939436619718315,4147.6,4191.5,4179.549295774648,55.0,55.0,55.0,517.3,549.3,540.1492957746477,226.8,226.8,226.79999999999993,273.7,274.5,274.0971830985915,0.2,0.3,0.26478873239436623,0.366,0.402,0.37805633802816896,0.451,0.4589999999999999,0.4551971830985916,,,,,,,,,,,,,,,,2020-06-21 01:00:00+00:00,Well-60,NIN
25.8,26.1,25.922535211267608,4163.3,4191.8,4177.5661971831,55.0,55.0,55.0,515.8,549.6,543.9816901408451,226.8,226.9,226.80140845070414,273.7,274.5,274.2070422535211,0.2,0.4,0.2746478873239437,0.364,0.406,0.3823380281690141,0.456,0.4589999999999999,0.4571408450704225,,,,,,,,,,,,,,,,2020-06-22 01:00:00+00:00,Well-60,NIN
25.8,26.1,25.93623188405797,4154.5,4193.7,4180.528985507246,55.0,55.0,55.0,513.9,550.2,539.8884057971015,226.8,226.9,226.8028985507246,273.9,275.2,274.3072463768116,0.2,0.4,0.2811594202898551,0.359,0.39,0.3709710144927536,0.447,0.4589999999999999,0.45191304347826083,,,,,,,,,,,,,,,,2020-06-23 01:00:00+00:00,Well-60,NIN
25.8,26.1,25.93239436619719,4152.9,4196.5,4177.7021126760565,55.0,55.0,55.0,516.7,551.0,544.7929577464788,226.8,226.9,226.80140845070414,273.9,274.8,274.2873239436619,0.2,0.3,0.2690140845070423,0.346,0.402,0.37410563380281686,0.4379999999999999,0.4529999999999999,0.44698591549295774,,,,,,,,,,,,,,,,2020-06-24 01:00:00+00:00,Well-60,NIN
25.8,26.1,25.954166666666666,4153.7,4193.6,4179.926388888889,55.0,55.0,55.0,519.5,553.8,543.8416666666667,226.8,226.8,226.79999999999998,273.9,274.6,274.2875000000001,0.2,0.3,0.2666666666666667,0.359,0.3979999999999999,0.37487499999999996,0.449,0.451,0.4499583333333333,,,,,,,,,,,,,,,,2020-06-25 01:00:00+00:00,Well-60,NIN
25.8,26.1,25.937142857142863,4149.2,4200.4,4175.091428571428,55.0,55.0,55.0,523.6,555.9,548.5214285714286,226.8,226.8,226.79999999999993,273.9,274.8,274.29285714285703,0.2,0.4,0.26999999999999996,0.357,0.3939999999999999,0.37251428571428574,0.45,0.452,0.45161428571428586,,,,,,,,,,,,,,,,2020-06-26 01:00:00+00:00,Well-60,NIN
25.7,26.0,25.90000000000001,4149.3,4187.3,4175.67323943662,55.0,55.0,55.0,539.0,555.2,548.5535211267606,226.8,226.8,226.79999999999993,274.1,274.8,274.5014084507041,0.2,0.4,0.2633802816901409,0.35,0.42,0.37849295774647884,0.4479999999999999,0.4529999999999999,0.45000000000000007,,,,,,,,,,,,,,,,2020-06-27 01:00:00+00:00,Well-60,NIN
25.8,26.1,25.945833333333336,4152.3,4183.8,4173.359722222222,55.0,55.0,55.0,544.2,552.9,549.2541666666667,226.8,226.8,226.79999999999998,274.5,275.2,274.6583333333333,0.2,0.3,0.26944444444444443,0.356,0.405,0.3734861111111111,0.4479999999999999,0.451,0.4493611111111111,,,,,,,,,,,,,,,,2020-06-28 01:00:00+00:00,Well-60,NIN
25.8,26.1,25.94929577464789,4154.3,4183.0,4175.45352112676,55.0,55.0,55.0,545.8,552.9,549.7577464788732,226.8,226.8,226.79999999999993,274.3,275.0,274.65774647887315,0.2,0.4,0.2661971830985916,0.353,0.3979999999999999,0.37183098591549296,0.449,0.45,0.44961971830985914,,,,,,,,,,,,,,,,2020-06-29 01:00:00+00:00,Well-60,NIN
25.8,26.1,25.92361111111111,4157.4,4182.5,4175.343055555556,55.0,55.0,55.0,545.5,553.2,549.5763888888889,226.8,226.8,226.79999999999998,274.3,274.8,274.5541666666667,0.2,0.4,0.2708333333333333,0.355,0.417,0.38176388888888885,0.449,0.451,0.4497500000000001,,,,,,,,,,,,,,,,2020-06-30 01:00:00+00:00,Well-60,NIN
25.7,26.1,25.938571428571436,4152.9,4184.0,4175.321428571428,55.0,55.0,55.0,542.9,554.7,550.122857142857,226.8,226.8,226.79999999999993,274.3,275.0,274.59571428571417,0.2,0.4,0.2657142857142857,0.361,0.4029999999999999,0.37749999999999995,0.449,0.451,0.44971428571428573,,,,,,,,,,,,,,,,2020-07-01 01:00:00+00:00,Well-60,NIN
21.8,26.8,25.846376811594205,726.9,4222.0,4019.818115942029,48.5,55.0,54.71739130434783,542.1,871.95,615.0746376811594,226.2,226.8,226.72463768115935,226.9,277.3,272.44855072463764,0.15,0.4,0.25724637681159424,0.3385,0.45,0.3794202898550725,0.417,0.456,0.45021739130434774,,,,,,,,,,,,,,,,2020-07-02 01:00:00+00:00,Well-60,NIN
25.8,26.1,25.93098591549297,4152.9,4184.4,4174.877464788733,55.0,55.0,55.0,549.3,567.4,558.649295774648,226.8,226.8,226.79999999999993,274.3,275.0,274.67746478873227,0.2,0.3,0.27746478873239433,0.1169999999999999,0.419,0.3729577464788733,0.455,0.457,0.45584507042253525,,,,,,,,,,,,,,,,2020-07-03 01:00:00+00:00,Well-60,NIN
25.7,26.0,25.875714285714288,4151.0,4185.1,4176.85,55.0,55.0,55.0,548.0,560.2,554.3885714285715,226.8,226.8,226.79999999999993,274.3,274.8,274.59,0.2,0.4,0.2628571428571429,0.2319999999999999,0.3939999999999999,0.37222857142857135,0.455,0.457,0.4561,,,,,,,,,,,,,,,,2020-07-04 01:00:00+00:00,Well-60,NIN
25.7,26.0,25.888732394366205,4149.1,4186.1,4176.867605633803,55.0,55.0,55.0,545.3,559.3,554.0591549295775,226.8,226.8,226.79999999999993,274.3,275.0,274.5957746478872,0.2,0.3,0.2619718309859156,0.352,0.395,0.37109859154929575,0.442,0.456,0.45033802816901414,,,,,,,,,,,,,,,,2020-07-05 01:00:00+00:00,Well-60,NIN
25.8,26.0,25.916666666666668,4153.0,4192.1,4176.847222222223,55.0,55.0,55.0,545.8,558.7,554.3916666666667,226.8,226.8,226.79999999999998,274.5,275.2,274.7416666666667,0.2,0.4,0.26944444444444443,0.349,0.405,0.37254166666666666,0.45,0.452,0.451125,,,,,,,,,,,,,,,,2020-07-06 01:00:00+00:00,Well-60,NIN
25.8,26.1,25.939436619718318,4144.7,4182.2,4169.543661971831,55.0,55.0,55.0,532.2,559.2,550.3521126760562,226.8,226.8,226.79999999999993,274.8,275.7,275.1112676056338,0.2,0.3,0.28309859154929584,0.357,0.387,0.37114084507042255,0.449,0.452,0.4503943661971831,,,,,,,,,,,,,,,,2020-07-07 01:00:00+00:00,Well-60,NIN
25.8,26.1,25.940845070422537,4144.0,4189.3,4173.085915492958,55.0,55.0,55.0,535.8,559.7,552.0633802816901,226.8,226.8,226.79999999999993,274.6,275.5,274.96901408450697,0.2,0.3,0.2774647887323944,0.354,0.416,0.37818309859154925,0.451,0.4529999999999999,0.4513943661971832,,,,,,,,,,,,,,,,2020-07-08 01:00:00+00:00,Well-60,NIN
25.8,26.1,25.93428571428572,4146.4,4187.2,4169.024285714286,55.0,55.0,55.0,537.5,552.7,548.0185714285714,226.8,226.8,226.79999999999993,274.6,275.5,275.0557142857143,0.2,0.3,0.26285714285714284,0.347,0.3989999999999999,0.37118571428571423,0.45,0.452,0.45082857142857147,,,,,,,,,,,,,,,,2020-07-09 01:00:00+00:00,Well-60,NIN
25.7,26.0,25.912676056338032,4145.6,4184.0,4169.090140845072,55.0,55.0,55.0,539.8,551.5,545.874647887324,226.8,226.8,226.79999999999993,274.6,275.4,274.9183098591548,0.2,0.3,0.2577464788732394,0.35,0.401,0.37064788732394366,0.45,0.4529999999999999,0.4515492957746479,,,,,,,,,,,,,,,,2020-07-10 01:00:00+00:00,Well-60,NIN
25.7,26.0,25.905714285714293,4146.1,4186.3,4171.391428571429,55.0,55.0,55.0,533.7,550.0,544.052857142857,226.8,226.8,226.79999999999993,274.1,274.8,274.4014285714285,0.2,0.3,0.27571428571428575,0.344,0.418,0.37541428571428564,0.451,0.4529999999999999,0.4517857142857143,,,,,,,,,,,,,,,,2020-07-11 01:00:00+00:00,Well-60,NIN
25.7,26.1,25.898550724637683,4145.6,4190.1,4171.930434782608,55.0,55.0,55.0,527.3,551.2,543.5304347826087,226.8,226.8,226.79999999999993,273.9,274.6,274.19420289855077,0.2,0.3,0.2565217391304348,0.359,0.422,0.3836521739130435,0.452,0.4539999999999999,0.45292753623188403,,,,,,,,,,,,,,,,2020-07-12 01:00:00+00:00,Well-60,NIN
25.7,26.0,25.87916666666667,4149.8,4197.0,4174.434722222223,55.0,55.0,55.0,530.7,550.6,541.7833333333333,226.8,226.8,226.79999999999998,274.1,275.0,274.34722222222223,0.2,0.3,0.27638888888888885,0.357,0.402,0.37377777777777776,0.451,0.4529999999999999,0.45229166666666665,,,,,,,,,,,,,,,,2020-07-13 01:00:00+00:00,Well-60,NIN
